lon,lat,time
122.32228445551557,54.512265465803104,02:48:55.9195542Z
121.63084856863301,53.10511770680008,02:49:19.7978169Z
120.97690616482173,51.694680865456014,02:49:43.6767389Z
120.35871913144108,50.285853370658245,02:50:07.5562157Z
119.76861300821139,48.87017676505293,02:50:31.4363936Z
119.20528329745898,47.451746137671,02:50:55.3171625Z
118.66713372403122,46.03166547212182,02:51:19.1987425Z
114.99925363471647,34.61435475864123,02:54:30.2782835Z
114.59961261190755,33.179571164505454,02:54:54.1671545Z
114.21037089817825,31.74861734140258,02:55:18.0569963Z
113.82881571517495,30.312200569159007,02:55:41.9478557Z
113.45518289639844,28.874763341460945,02:56:05.8397113Z
113.08938805292574,27.436634635560726,02:56:29.7325347Z
112.72992775793118,25.997404088400895,02:56:53.6264581Z
111.35036692275426,20.233705079938662,02:58:29.2133053Z
111.01728167726255,18.791538065322143,02:58:53.1127876Z
110.36298910971689,15.905104898378891,02:59:40.9154905Z
110.04064359349015,14.461680332315055,03:00:04.8186657Z
109.72157144273648,13.017194964042853,03:00:28.7230273Z
109.4045287687628,11.572508441351584,03:00:52.6287330Z
109.0899711772108,10.127852412181769,03:01:16.5357528Z
107.84626261205109,4.342850260317876,03:02:52.1771271Z
107.53809135633158,2.8976056016080003,03:03:16.0908229Z
107.23064247741411,1.452083415878358,03:03:40.0060374Z
106.923240027396,0.006524626008450182,03:04:03.9225223Z
106.61543761478804,-1.442783375822845,03:04:27.8405163Z
106.30815391687969,-2.8883247053763146,03:04:51.7598574Z
105.99990754119625,-4.333163404439224,03:05:15.6806882Z
105.6911588597449,-5.777967559842184,03:05:39.6029658Z
105.38034683194095,-7.226798426951761,03:06:03.5266919Z
109.78967277842006,69.60784045949242,04:23:26.3759497Z
108.09738844461143,68.28021544817992,04:23:50.2497822Z
106.58446365663252,66.94250587377532,04:24:14.1240561Z
101.79764657251472,61.480105025185324,04:25:49.6243262Z
100.83323416003535,60.09502635659737,04:26:13.5004113Z
99.9422011941094,58.70887569698013,04:26:37.3770177Z
99.10938310929399,57.31330667689921,04:27:01.2540769Z
98.33007227888282,55.91320985758327,04:27:25.1316751Z
97.59967793467814,54.513806078660984,04:27:49.0099712Z
96.90901322986551,53.106385584716264,04:28:12.8885415Z
96.2566173814624,51.69553880330388,04:28:36.7678954Z
95.63620928644555,50.28252703287005,04:29:00.6478416Z
95.04779311381907,48.871550437879634,04:29:24.5287072Z
94.48498013349729,47.4535261384972,04:29:48.4099581Z
93.94613979019014,46.03277195823251,04:30:12.2920207Z
93.42924445088556,44.61028299119736,04:30:36.1749294Z
92.93375449938073,43.19022261720109,04:31:00.0584703Z
92.45400962124984,41.76441495118275,04:31:23.9429117Z
91.99125588324188,40.336719022930595,04:31:47.8280658Z
91.54349492997352,38.90766786609313,04:32:11.7143057Z
91.11175431572295,37.48105225515758,04:32:35.6011297Z
90.6897503050181,36.04922665266838,04:32:59.4891519Z
90.27922683678571,34.61574748428134,04:33:23.3778810Z
89.8792293985172,33.18135227565906,04:33:47.2677154Z
89.48896460423015,31.74577386845811,04:34:11.1583638Z
89.10731479436232,30.309516098116816,04:34:35.0501208Z
88.73437661284949,28.872063702069426,04:34:58.9428488Z
88.3679486042444,27.433249046114206,04:35:22.8366267Z
88.01024192937771,25.999485158678876,04:35:46.7314141Z
87.65732747753326,24.55961591407207,04:36:10.6272157Z
87.310053538605,23.119135372500732,04:36:34.5242457Z
86.96808619195092,21.67773290987179,04:36:58.4224302Z
86.63072530534077,20.236111001475113,04:37:22.3217278Z
83.37201070309693,68.27828424413528,06:02:43.3882410Z
81.86014437982348,66.94057343722992,06:03:07.2623958Z
80.4921430827496,65.58713744155291,06:03:31.1367821Z
79.25296568486154,64.22809311002769,06:03:55.0117648Z
78.11701318643703,62.85663258511857,06:04:18.8868883Z
77.07278512568674,61.47797324078068,06:04:42.7626886Z
